sku,brand,model,gtin,hsn,title,description,category,sub_category,mrp,selling_price,gst_rate,availability,condition,installation_included,warranty_months,weight_kg,length_mm,width_mm,height_mm,capacity,color,star_rating,inverter,rating_value,rating_count,image_files,stock_count,compressor_warranty_months,highlights,faqs
SAMPLE-RF-011,Whirlpool,IFPRO INV CNV 278,8900000000116,84181010,Whirlpool 235L Frost Free Double Door Refrigerator,Intellisense inverter with an adaptive cooling algorithm and a convertible freezer offering five usage modes.,Refrigerator,Double Door,38990,30490,18,out_of_stock,new,true,12,55,600,655,1590,235L,Steel Onyx,3,true,4.1,52,placeholder.svg,,120,,
SAMPLE-RF-012,Godrej,RF EON 328B,8900000000123,84181010,Godrej 328L Frost Free Double Door Refrigerator,Nano shield technology and a jumbo vegetable tray. Runs on a home inverter during outages.,Refrigerator,Double Door,45990,35990,18,in_stock,new,true,12,63,640,670,1730,328L,Fossil Steel,3,true,4.0,38,placeholder.svg,,120,,
SAMPLE-RF-013,LG,GL-B201ASPY,8900000000130,84181010,LG 190L Direct Cool Single Door Refrigerator,"Smart inverter compressor in a single door format, with a base stand drawer and a fast ice making tray.",Refrigerator,Single Door,24990,19990,18,in_stock,new,false,12,34,555,580,1150,190L,Scarlet Plumeria,5,true,4.5,187,placeholder.svg,3,120,,
SAMPLE-RF-014,Samsung,RR21C2H25S8,8900000000147,84181010,Samsung 183L Direct Cool Single Door Refrigerator,Compact single door refrigerator with a digital inverter compressor and a base stand with a drawer.,Refrigerator,Single Door,19990,15490,18,in_stock,new,false,12,32,545,570,1120,183L,Gray Silver,4,true,4.3,145,placeholder.svg,,120,,
SAMPLE-AC-001,Voltas,183V Vectra Prime,8900000000154,84151010,Voltas 1.5 Ton 3 Star Inverter Split Air Conditioner,Copper condenser inverter split air conditioner with turbo cooling and a self diagnosis display. Suited to rooms up to 150 sq ft.,Air Conditioner,Split AC,52990,42990,28,in_stock,new,true,12,38.5,998,325,225,1.5 Ton,White,3,true,4.4,231,placeholder.svg,,120,,
SAMPLE-AC-002,LG,RS-Q19JNZE,8900000000161,84151010,LG 1.5 Ton 5 Star Dual Inverter Split Air Conditioner,Dual inverter compressor with a four way swing and an anti-virus HD filter. Rated for rooms up to 160 sq ft.,Air Conditioner,Split AC,66990,49990,28,in_stock,new,true,12,41,998,330,210,1.5 Ton,White,5,true,4.7,508,placeholder.svg,3,120,,
SAMPLE-AC-003,Samsung,AR18CY5ARWK,8900000000178,84151010,Samsung 1.5 Ton 5 Star Convertible Split Air Conditioner,Convertible 5-in-1 cooling modes and a durable anti-corrosion coating on the outdoor unit.,Air Conditioner,Split AC,64990,47490,28,in_stock,new,true,12,40,1055,299,215,1.5 Ton,White,5,true,4.5,276,placeholder.svg,,120,,
SAMPLE-AC-004,Voltas,124V Vertis Elite,8900000000185,84151010,Voltas 1 Ton 4 Star Inverter Split Air Conditioner,"One ton inverter split for smaller bedrooms up to 110 sq ft, with a high ambient cooling range up to 52 degrees.",Air Conditioner,Split AC,42990,33990,28,in_stock,new,true,12,32,890,300,205,1 Ton,White,4,true,4.2,119,placeholder.svg,,120,,
SAMPLE-AC-005,Haier,HSU19K-PYFR5BN,8900000000192,84151010,Haier 1.5 Ton 5 Star Frost Self Clean Inverter Split AC,"Self cleaning cycle that freezes and flushes the evaporator coil, plus a 7-in-1 convertible mode.",Air Conditioner,Split AC,61990,45990,28,in_stock,new,true,12,39,1000,325,220,1.5 Ton,White,5,true,4.4,163,placeholder.svg,3,120,,
SAMPLE-AC-006,Whirlpool,MAGICOOL PRO 3S,8900000000208,84151010,Whirlpool 1.5 Ton 3 Star Fixed Speed Split Air Conditioner,Fixed speed split air conditioner with a 6th sense fast cooling mode and a self diagnosis panel.,Air Conditioner,Split AC,44990,34490,28,backorder,new,true,12,36,900,315,215,1.5 Ton,White,3,false,3.9,44,placeholder.svg,,,,
